content,rating
"Bình giữ nhiệt kém, mình cho nước nóng vào mag vỏ bình nóng ran",1
 cam rất chất lượng nhưng đành cho 1  cho dịch vụ của tiki,1
"Đểu, dùng ọp ẹp, mau hỏng",1
 Tóm lại hàng ODM chất lượng ko tốt,1
 Giá cả cũng tạm ổn,3
Không sử dụng dc ạ,1
vừa mới mua về dùng đang phê thì ko hiểu sao cái rắc usb dùng đc đúng hôm xong hỏng,1
"  mấy thanh chắn giá sách hơi ngắn , để đồ bt dễ rơi",3
Cong thế này mà cũng gửi cho khách,1
"Dịch này giao chậm quá, phải đến chốt phong tỏa nhận hàng",3
Mình nhận mà không có ly quà tặng đi kèm,1
"Khá hài lòng, mẫu mã đẹp !",2
 Tôi mong Tiki cần phải thay đổi ngay cách hoạt động của mình!,1
"Mình lần đầu mua hàng điện thoai qua Tiki, mua sản phảm Ip11 128gb về xài vài ngày thì liên tục bị lỗi  nói đầu dây bên kia không nghe ",1
Hàng VNA chính hãng ,3
"hợp giá tiền, rẻ còn độ bền chx bik ạ",2
Đổi trả mất thời gian nên thôi xài luôn ,1
 vắt còn nhiều nước,3
 Tai nghe cũng k dùng nhiều vì mình dùng tai Bluetooth nữa,1
"hướng dẫn trong thùng khó lắp, phải gọi điện cho công ty để hướng dẫn chi tiết",3
"Bình đẹp, giao hàng nhanh",3
 Sẽ kg mua lại,2
Thôi mua lần này thôi xin tiễn ạ!!! còn thùng giấy thì rách rưới tùm lum băng keo gì bung hết cái thùng đó cho chắc cũng kh ai dám lấy ,2
1 số lỗ ốc bị lệch,2
 Mua về lau ko đc mà tháo cũng ko xong,1
 Mình rate 1 sao vì cái này,1
sản phẩm cực kì tệ so với giá tiền,1
trong quảng cáo ghi là có kèm thao thẻ nhớ,1
 nhưng giao hàng quá lâu nên chỉ đánh giá 3 sao,3
" Không biết mọi người lắp xong bàn có chắc chắn không chứ bàn của mình nó hơi mong manh, mỗi lần mình đụng đụng là nó cứ siêu quẹo, lung lay như muốn rớt ra",3
Khó dùng,3
"Sơn dễ bong tróc, mùa hơi tươi",3
" Mình dùng kiềm đẩy cho nó sát vào thì vợt tốt, nhưng mới mua về mà thấy nó đứt cực kì khó chịu luôn ấy",3
pin sạc nhanh hết pin,2
"Sản phẩm gọn nhẹ, dễ tháo lắp, phù hợp không gian nhỏ",3
"shipper của Tiki, khi đến thì gọi người nhà ra, người nhà đang đi ra thì quăng hộp cái đùng trước cổng, rồi đi",3
 Hàng ko bh,3
"Giữ nhiệt tốt, nhưng khi cho đồ nóng vào khay thực sự cầm nóng quá",3
Tờ hướng dẫn shop để vào cho có thôi chứ không thấy có tác dụng nhiều,3
"mới mua dc 2 ngày loa bị rè, giờ sao để bảo hành đây : ",2
Nghe được mấy phút thì rè và không có tín hiệu rõ,1
 Mình sửa đánh giá sau khi có kết quả nhé,3
Không giống như mong đợi!!!!!,1
Mua đã được 1 tháng nhưng hôm nay mới thử,2
"ổ gia công chất lượng vô cùng thấp, cắm rồi là không rút ra được, rất mất thời gian",1
Không hiểu sao giao cho mình một sản phẩm cũ và bẩn như thế này,1
Mua ngày 13/5 mà không được tặng bình nước shop kiểm tra giao bổ sung giúp mình nha,3
Có mấy chục ngàn nên chắc ko có bảo hành nhỉ ?,1
 Trước mình cũng mua 1 dây xanh như này và cũng bị hiện tượng tương tự,1
Đựng khoảng 20 50 mL nước hơi nóng thì ấm ngoài bình,1
"tiki giao hàng gì mà đã dán hàng dễ vỡ rồi, mà cái hộp ko còn từ nào để nói luôn",1
Giao hàng rất lâu từ ngày 6/10 đến 29/10 mới nhận được,3
 Thất vọng !,1
 Muốn đổi sp ạ,2
"Mặt bàn bị trầy sước, phần vít khoá ko chắc chắn làm chân bàn lắc lư ko vững dù đã thử gắn lại nhiều lần",3
"Sản phẩm bị lỗi đầu mút nhé shop, đầu to đầu nhỏ, đầu to còn đàn hồi, đầu nhỏ bị chai cứng giống bị oxy hoá vậy",2
nhờ shop hỗ trợ bảo hành sản phẩm bị lỗi,2
nắp đậy bị nóng lên khi giữ nóng,1
 Với mức giá này thì sản phẩm quá tệ,1
Đien thoại mới nhưng rất mau hết pin,1
 Sau đó 2h sử dụng chỉ nghe được 1 bên,1
mua lần 2 rồi,2
Sản phẩm lỗi cong vênh không thể lắp đặt để sử dụng,1
" 1 cái đặt trước, 2 cái đặt sau",1
mua hàng ngày 15,3
2 tai nghe nó KHÔNG KẾT NỐI VỚI NHAU,1
 Bàn này muốn di chuyển chắc khó lắm,3
Sản phẩm như vậy làm sao dùng,1
tai nghe kết nối kém tiếng nhỏ,1
"Khoan thì sai từa lưa, mặt bàn thì trầy hết chỗ nói",1
" Shipper cũng thân thiện hơn so với các đơn trước, chắc vì đơn này đắt tiền",3
"lau phập phềnh, chán",1
" Mình rất không hài lòng về cách làm việc của nhân viên Tiki, hưa tới hứa lui không rõ ràng và không giữ đúng lời hứa với khách hàng",1
 Đã ib cho shop,1
chất lượng thì ok,3
Miếng đệm PVA của mình bị lỗi cong vênh nên ko lắp ráp được,3
Nhân viên kho cần chú ý hơn về việc lấy hành,1
hàng tốt dùng rất ok ,1
" Nghề nào cũng vất vả, nhưng khi đã lựa chọn thì phải chấp nhận, kiểu giao tiếp như khách hàng đang mắc nợ ảnh vậy",3
Mình mua hàng ở Tiki rất nhiều lần nhưng lần này tiki làm mình thất vọng ,2
khoai thật sự,1
sạc vấn vào tới luc đua ra khỏi nắp thì mở lại k len,1
"giấy ăn gấu trúc bình thường, mỏng",3
"Minh đặt hai bộ nhưng một bộ giao không đầy đủ chỉ nhận có 1 miếng giẻ lau, thiếu hai miếng giẻ lau, nhờ bên mình xem lại giúp ạ",3
Sạc không vào tai nghe khó kết nối vs điện thoại,1
Chê nhiều rồi,2
"Thiết kế ok, chất lượng bình thường, dễ xước",3
 Đèn vẫn sáng nhưng ko bắt được muỗi,1
Binh dep nhung khong ngo no hoi to,3
"Vấn đề tiki giam tiền của mình cả tháng, ko thấy hàng cũng ko trả tiền dù phản ảnh nhiều lần",1
 Nhưng có một chi tiết là dây sạc cho dock sạc không sử dụng được,3
  Kèm vào đó là ông anh Shipper rất vô duyên,1
 Mình đã thử từ cắm vào ngõ USB trên máy tính hay sử dụng củ sạc rời cũng đều không được hết,3
" Đề nghị ship bù thìa, dĩa",1
Oki nhé,3
"hướng dẫn theo giấy chỉ dẫn rất khó khăn, tháo gỡ ra 2 lần mới làm được, hên coi thêm youtube mới hoàn thành đc phần ghép mặt bàn vào kệ ",3
 Các bạn có chính sách gì cho trường hợp này không vậy?,1
"Hình thì sắc nét, nhưng âm thanh quá nhỏ, độ xoay thấp, giá cũng cao hơn các loại khác mà còn không hỗ trợ thẻ nhớ nữa",3
tôi đặt màu bạc nhưng giao màu đen??,1
 Báo cáo với Tiki để đổi trả bảo hành nhưng nhận được cách xử lý không thể tồi tệ hơn,1
Mới dùng chưa đến 1 ngày sao dây dợ thế này shop? Bây giờ làm sao?,3
 Như các bạn bảo giấy hướng dẫn rất sơ sài phải xem video hướng dẫn trên YouTube mới làm được,3
"Dừng 2 ngày hư luôn, không xài được",2
 Shop ko kiểm tra hàng trước khi gửi sao?,1
"Hàng lỗi, không được hỗ trợ",1
Sáng mua chiều sử dụng thì đứt dây,2
 Nhưng Tiki phản hồi như không,2
"Giấy nhỏ k lớn, ảnh chụp nhìn lớn hơn nhưng chấp nhận trong tầm giá",3
Vui lòng nhận lại hàng vì không đúng như đã ghi ,1
Shop gửi nhầm tấm  trắng để lắp ngăn ở chân bàn rồi ,1
 Thật thất vọng với dịch vụ của tiki,1
cả hộp các tông tiki và hộp đựng sp đều ko có gì chống sốc nên nắp bình của mình bị 1 vết móp,2
 Quá thất vọng và sẽ không bao giờ mua hàng nữa,1
" Liên hệ Tiki để đổi trả, mà như cực hình",1
Sản phẩm dùng được một tháng pin đã trai không dùng được,1
 Chui cắm sạc như hình của mình k nên cắm vì cắm sẻ bị dính luôn và phải tháo ốc ra mới lấy đc,1
k biết tại sao ốc cam lại quá nhỏ so với lỗ bắt vịt vậy a,3
"Tai nghe chỉ nghe được một bên trái hoặc phải,không thể nghe cùng lúc",3
"2, nhưng sử dụng chắc chỉ tầm 4 5 lần",1
 Mn nên cân nhắc khi mua,3
"giao hàng nhanh, đóng gói cẩn thận, chưa thử độ giữ nhiệt nên chưa biết sao",3
Reset thì bị lỗi giữ 15s thì đèn tín hiệu chỉ chuyển qua màu trắng mà không nhấp nháy,1
"Shop bán hàng không uy tín, x2 tấm lau sàn, nhưng nhận hàng chỉ có x1",1
"mình đã nhận được hàng, nhưng shop giao thiếu bộ thìa dĩa",2
"Miếng lau quá nhỏ, phải xả liên tục, lau không sạch",1
"Ưu: Kết nối nhanh, chuyển đổi thiết bị nhanh, dùng được cho tất cả các thiết bị có bluetooth, hey siri không cần chạm, sạc nhanh đầy, 15 20p là nghe được ~ 3 tiếng ",3
"Ban đầu sử dụng ổn nhưng khoảng 2 tuần sau thì chỉ có thể active tai trái, tai phải không còn phát âm thanh mặc dù báo đã connect",3
" Chán, không biết gọi đâu để đổi",1
" Có thể dùng tay ấn và tiếng ""kịt kịt"" to",1
Tôi muốn đổi hàng,2
2022,3
shipper không giao hàng mà báo đã giao,1
pin sạc vao đt rất chậm,3
 nhưng giao mẫu bình bị mốp,3
Sản phẩm đơ không mượt,1
Bàn lắp khó,1
 Tải app xong để màn hình như vậy,1
"Shop giao nhầm tấm trên cùng, nhờ shop hỗ trợ đổi ạ",3
Lỗi loa trong khi đàm thoại?  ,2
tưởng dc thẻ nhớ như hình ai dèk có,3
Hỗ trợ đổi trả hàng chậm ,1
 Thất vọng : ,1
 Giá mình mua là 689k đã gồm phụ phí,3
"tai nghe thi thoảng bị mất tiếng, không biết có được đổi trả ko shop",3
 lười làm thủ tục đổi nên thui,2
Lướt tiktok hay bị out ra ngoài,3
inox bên ngoài thì ko tốt như mình nghĩ,2
 Để thức ăn nóng vào hộp là xác định bỏng tay vì inox dẫn nhiệt rất nhanh,3
"Đã đặt hàng rất nhiều lần trên tiki tuy nhiên lần này rất thất vong, mình đặt mua hộp cơm giữ nhiệt ngày chủ nhật 26",1
chập chờn rác khó chịu,1
 Bình thì bị trầy 1 đường ở gần miệng,3
 Đề nghị đổi lại cho mình,1
mà đã báo giao thanh công,3
"Hộp đã bị khui seal rồi đóng lại, còn cả miếng băng keo tháo ra sót lại trong hộp bên dưới máy, máy trầy, cấn",1
ko nên mua,1
 Yêu cầu có hướng giải quyết cụ thể,1
"Giao sản phẩm không giao ốc vít, giờ không biết nên lắp đặt cách nào?",2
nắp hơi kênh nú bên trong khó bỏ ra vào,2
Quá buồn,1
"Mẫu mã thì như hình, nhưng đồ ăn để từ sáng đến trưa nguội tanh, mà cồng kềnh lớp trong lớp ngoài",1
 Coi sàn phẩm đạt Chẩn ,3
"Mình đang rất thắc mắc về cốc sạc, đã làm theo hướng dẫn sạc 24h nhưng chế độ hiển thị chỉ 80%, shop cho hỏi vậy cốc sạc này có vấn đề hay chỉ max đc tới đó ko full 100%",3
" đi bảo hành mất 1,5 tháng về xài được 2 tháng lỗi tiếp",1
 Sản phẩm nhìn hoành tráng mà ko giữ nóng,1
sao ko thấy ho tro the nhớ,1
 Đề nghị shop giao thêm số 8 cho tôi ráp nữa,1
Đồ chi mà xem lại k được,1
"Hàng đã bị active từ trước, kết nối vào đã có tên người dùng trước, bảo hành thì chỉ còn tới 05/2022",3
Âm thanh cũng bình thường,3
 màu không giống hình lắm,2
 Nhưng sơn kém quá,2
bên còn lại k pit nào hư lun,3
không biết các bạn thế nào chứ mình lắp 1 mình 3 tiếng mới xong,3
Bình quá to với con gái : ,1
Giữ nhiệt ko tốt lắm,3
 M có gửi hình ảnh phản hồi lại tiki và đang đợi giải quyết,2
"Mua cho bme mà bme nhận ko thích nói mỏng, ko chắc",3
"Không sử dụng được, vợt muỗi không chết không kêu, chỉ đành mang bỏ rác!",2
" Đã reset thiết bị nhiều lần, thay đổi WIF khác, để kết nối lại nhưng không cải thiện",3
Ko lên đèn ko reset được mong nhà bán hàng đổi lại cái mới gấp,2
 Quá thất vọng với Tiki,1
 dù pin còn nhiều nhưng chỉ khuất 1 cái tủ gỗ đã mất kết nối,1
Tôi mua phải hàng không đúng theo đơn đặt hàng,1
"Dùng lần đầu tiên thì rất tốt, nổ mạnh, vợt được nhiều muỗi cùng lúc vẫn bình thường",2
 Quá thất vọng với sp của người bán và sản phẩm của tiki,1
Để lộ thông tin khách hàng,1
chất lượng không tương xứng so với giá bán,2
 Tuy nhiên có những lỗi như sau: ,3
"Giấy có mùi kiểu mốc, như thể để lâu trong kho",1
"Mới dùng chưa được bao lâu mà cái nắp đã hỏng như vậy, lòi cả miếng xốp bên trong",2
"Giao nhanh, sản phẩm đang chờ xem lại là pod1 hay pods2",3
Hướng dẫn sơ sài,1
"Chấp nhận được, có mua lại",3
Sản phẩm bị lỗi ở phần mút và tấm nhựa bị cong,1
" Mình hỏi có được 1 đổi 1 không, bên Tiki nói là để kiểm tra mới biết có đổi không",3
kết nối quá kém,1
cục hàng có xíu mà phí ship cao quá,1
" Đầu vít bị lòi ra ngoài mặt phẳng nhiều, không đẹp mắt",2
 Giá ngày 07/10 đắt hơn ngày thường 30k nữa chứ,1
tại sao một bên sạc dc 1 bên lai ko dc,1
1 bên có tiếng rè rè âm thanh không chuẩn,1
 nhưng mới sạc được 3% thì đã xuống một cục,3
 Trong khi đó sản phẩm được bảo hành 18 tháng,3
Đã hỏng sau sử dụng 2 tuần,1
Ỷ y nên không chụp hình quay fim lúc mở hàng,2
 Thấy lần sạc cuối cùng là tháng 11 năm nay,1
AVI Admin có thể giúp tôi!Sau khi cài đặt xong camera không hiển thị hình ảnh mà nó cứ xoay vòng tròn ,1
Tạm được nhưng chưa tốt lắm,3
 cái này là do thiết kế vậy hay do lỗi vậy shop,2
 Mình chia sẻ cho người thứ 2 theo dõi thì người kia không thể điều chỉnh được gì cũng như giọng nói,1
"xài tầm 2 tháng là hư 1 bên, nghe bị rè",3
Giao hàng nhanh hơn dự kiến ,3
Sản phẩm sạc pin không vào!,1
"Chưa nhận được hàng đã cho đánh giá, rồi hàng bên mình giao ai rồi, không thấy cuộc gọi nhỡ nào",1
"Máy mới mua về màn hình đã bị ám vàng, làm cho camera cũng bị ám vàng theo",2
thất vọng về sp quá,1
sản phẩm lau xong vệ sinh trên tấm lau vẫn dính bẩn,3
000,3
Sao mua hàng không có quà tặng như quảng cáo vậy shop? Nếu không có thì bỏ cái hình quảng cáo đi,1
camera ok mà ko thấy chỗ gắn thể nhớ,3
khá thất vọng,1
chờ lâu quá ,2
Trước đó khi chờ đơn hàng này mình đã gọi điện phản ánh rất nhiều lần rồi,1
"Máy mới mua về xài 1 ngày mà thấy PIN mau hết với nóng máy dã man, khác hoàn toàn các sản phẩm khác xài",1
"dù hàng mới nhưng mặt bàn hơi trầy, có bộ phận bị mẻ góc",3
"giữ nhiệt tốt, bình sài rất êm, ủng hộ shop tiếp",1
 Nhờ shop hướng dẫn giúp mìh với ạ,2
gói nhỏ xíu dạy mà 300 tờ chắc tin,3
Thỉnh thoảng đột nhiên disconnect ,1
Khá ổn trong tầm giá …,3
"Độ trễ cao quá, chơi game ko phù hợp",2
Thiếu muỗng nĩa shop ơi,1
Chất lượng ko tốt,1
Không thích nghi với mùi giấy này ,1
"ổ điện khá chật, cắm vô toàn bị kẹt",1
 Vấn đề giao hàng,1
Mới mua về khui ra đã hư,1
    Đánh giá không tính điểm,1
"Sản phẩm giữ nhiệt tệ, không hài lòng",2
" Những lần sau bỏ tai nghe vào trong hộp sạc airpod đều yêu cầu tự kết nối lại, rất phiền phức",1
va hay tự ngắt âm thanh,1
 Tờ giấy ko tốt như mong đợi,1
"Hơi nặng tay, nặng hơn cái lap",3
 Nhưng mình đã dành thời gian chờ ở nhà mãi mà không nhận được,1
 ai ngờ nhận đc hàng rất xấu,1
 Tiki ko kiểm tra hàng trước khi gio cho khách hàng sao,1
 Bị ngắt mạch khi sạc pin ,1
"Tổng kết là, trải nghiệm nhận hàng lần này quá mệt mỏi",1
 Cây lau ko xoay 360 độ được,3
"hướng dẫn lắp ráp sơ sài, không chi tiết làm mất thời gian",3
 Check mã thì toàn kêu k có thông tin mua hàng,1
